income,loan_amount,dti_ratio,credit_score,employment_years,num_open_accounts,home_ownership,loan_purpose,region_risk_index,age_group,gender,region,default,split
76517,30599,0.5386,648,3.6,3,RENT,debt_consolidation,0.7085,41-60,F,east,0,train
80531,41623,0.4444,717,6.2,4,RENT,home_improvement,0.6405,41-60,F,east,0,train
29284,4645,0.2118,691,1.3,7,RENT,debt_consolidation,0.5433,41-60,M,east,0,train
100208,9635,0.13,619,2.6,4,RENT,debt_consolidation,0.7121,18-25,F,west,1,validation
129993,66736,0.3231,723,4.8,10,OWN,small_business,0.4144,41-60,M,south,0,train
42473,23006,0.3524,744,9.5,6,RENT,debt_consolidation,0.8182,41-60,M,west,1,train
43054,13001,0.3169,706,8.3,8,MORTGAGE,debt_consolidation,0.3853,26-40,F,south,1,test
110717,32943,0.3117,663,7.7,3,MORTGAGE,major_purchase,0.2457,26-40,F,north,0,train
18000,1517,0.0585,732,7.2,4,OWN,debt_consolidation,0.7895,41-60,F,west,0,test
97619,26525,0.3801,704,19.2,7,RENT,debt_consolidation,0.4104,18-25,F,south,0,train
46079,30564,0.576,663,4.6,4,RENT,debt_consolidation,0.7743,18-25,F,west,0,test
38432,18188,0.4118,648,6.2,7,RENT,major_purchase,0.2147,26-40,M,north,1,train
35756,11439,0.1807,656,7.6,6,MORTGAGE,debt_consolidation,0.5872,26-40,F,east,0,test
57405,15392,0.1849,723,9.8,9,MORTGAGE,home_improvement,0.7668,26-40,M,west,0,test
137387,79450,0.5269,588,1.9,7,RENT,small_business,0.1715,60+,M,north,1,train
29621,13875,0.4645,654,6.4,8,MORTGAGE,debt_consolidation,0.1742,41-60,F,north,1,train
52254,8875,0.2206,655,2.9,6,OWN,major_purchase,0.2539,60+,F,north,0,test
96175,56306,0.6239,639,7.0,4,RENT,medical,0.3903,41-60,M,south,0,validation
103473,49723,0.26,687,6.6,2,OWN,major_purchase,0.1868,26-40,F,north,0,train
83015,19634,0.3246,780,3.7,5,RENT,major_purchase,0.8055,41-60,F,west,1,train
34810,4631,0.0968,563,2.8,3,RENT,small_business,0.2589,26-40,M,north,0,train
43226,13361,0.3508,713,8.0,4,RENT,debt_consolidation,0.6794,26-40,M,west,0,train
32914,9598,0.3102,727,4.5,3,RENT,debt_consolidation,0.1708,41-60,M,north,0,train
226018,93102,0.244,776,1.9,4,MORTGAGE,home_improvement,0.6121,26-40,F,east,0,train
62948,26409,0.3515,644,5.2,8,RENT,major_purchase,0.4637,18-25,M,south,1,train
48659,24573,0.572,734,4.9,7,RENT,debt_consolidation,0.8674,18-25,M,west,0,test
72786,19572,0.1484,657,8.3,6,MORTGAGE,debt_consolidation,0.8884,18-25,M,west,0,train
49258,5982,0.0811,738,8.1,6,MORTGAGE,debt_consolidation,0.6248,26-40,F,east,0,train
36595,23351,0.4457,684,6.7,4,MORTGAGE,home_improvement,0.4941,60+,M,south,1,train
38817,12557,0.3105,735,10.6,6,RENT,debt_consolidation,0.6428,41-60,F,east,1,train
49378,28493,0.75,721,19.8,4,RENT,debt_consolidation,0.724,26-40,F,west,0,train
51957,6375,0.0979,581,7.1,3,MORTGAGE,medical,0.1507,18-25,F,north,0,train
18000,12831,0.5596,673,6.0,2,MORTGAGE,medical,0.8482,26-40,M,west,1,train
44908,30177,0.75,692,9.4,2,RENT,debt_consolidation,0.6379,26-40,F,east,1,validation
23024,7783,0.355,723,8.4,9,RENT,major_purchase,0.7445,26-40,M,west,1,test
40459,11719,0.1714,581,9.7,5,RENT,small_business,0.2213,26-40,F,north,1,train
132123,16169,0.0962,674,3.7,7,MORTGAGE,debt_consolidation,0.494,26-40,M,east,0,train
61405,6847,0.0698,545,3.7,4,RENT,debt_consolidation,0.83,26-40,F,west,1,train
81749,41875,0.6432,710,0.8,4,RENT,home_improvement,0.8674,26-40,M,west,1,train
24330,11746,0.6408,743,10.3,6,MORTGAGE,medical,0.3104,41-60,F,south,1,train
123303,64871,0.3707,681,14.3,1,RENT,medical,0.8009,18-25,F,west,1,train
37007,13799,0.3691,680,3.4,7,RENT,home_improvement,0.6511,18-25,F,east,1,validation
59702,17404,0.3356,783,14.7,6,RENT,debt_consolidation,0.315,41-60,M,south,0,train
44212,17855,0.3884,656,5.9,4,RENT,home_improvement,0.1892,26-40,M,north,1,validation
25222,6107,0.1946,614,5.8,4,OWN,debt_consolidation,0.1795,26-40,M,north,1,train
79960,9309,0.1094,794,8.9,5,MORTGAGE,major_purchase,0.1723,26-40,M,north,0,test
20348,11342,0.4981,645,1.0,4,OWN,debt_consolidation,0.0624,60+,M,north,0,test
89247,9296,0.1242,627,4.2,2,RENT,home_improvement,0.7441,26-40,M,west,0,validation
61783,18302,0.3799,752,4.8,6,MORTGAGE,home_improvement,0.4196,60+,M,south,0,train
64192,25937,0.2402,722,2.2,7,RENT,small_business,0.7358,26-40,M,east,1,train
117220,58433,0.3577,688,14.4,4,RENT,debt_consolidation,0.1677,60+,M,north,0,train
27476,11518,0.2212,690,4.9,6,RENT,debt_consolidation,0.5705,18-25,M,east,0,train
34257,16534,0.2867,607,2.1,5,RENT,debt_consolidation,0.3009,26-40,M,south,0,train
39618,19565,0.3838,787,8.5,4,MORTGAGE,debt_consolidation,0.4958,60+,F,east,1,train
21151,12319,0.4231,747,8.8,3,MORTGAGE,small_business,0.5922,26-40,M,east,0,test
55202,21342,0.2962,784,10.1,2,MORTGAGE,debt_consolidation,0.2774,26-40,M,south,0,train
43208,8283,0.1567,694,4.1,10,RENT,small_business,0.3824,26-40,M,south,1,train
66503,22509,0.3755,499,9.0,2,OWN,major_purchase,0.4023,41-60,M,south,0,train
39767,18462,0.2661,736,12.4,4,OWN,small_business,0.5461,18-25,F,east,1,train
63609,24567,0.275,556,1.5,4,RENT,home_improvement,0.3,26-40,M,south,1,train
78422,37445,0.5113,604,21.4,7,MORTGAGE,home_improvement,0.1842,26-40,F,north,0,train
64839,5925,0.0899,623,1.8,3,MORTGAGE,debt_consolidation,0.4416,18-25,M,south,1,test
30148,3639,0.1527,703,2.1,6,MORTGAGE,small_business,0.7623,26-40,F,west,0,validation
61352,19954,0.1904,729,5.2,1,RENT,medical,0.4304,18-25,M,south,0,train
83458,27735,0.375,701,24.2,5,RENT,medical,0.3889,41-60,M,south,0,test
39091,21523,0.4586,657,2.5,7,RENT,debt_consolidation,0.7068,26-40,M,west,1,train
122533,37797,0.1944,689,11.8,6,MORTGAGE,debt_consolidation,0.8382,18-25,M,west,0,train
39827,13651,0.2962,671,2.6,5,RENT,debt_consolidation,0.4159,41-60,M,south,0,train
26502,2617,0.0527,705,3.7,2,MORTGAGE,major_purchase,0.6088,18-25,F,east,0,train
67179,16230,0.1341,644,8.8,5,MORTGAGE,debt_consolidation,0.4571,26-40,M,south,1,test
33154,5717,0.1217,651,5.6,9,MORTGAGE,medical,0.5838,26-40,M,east,1,validation
102805,10983,0.1388,600,7.6,4,MORTGAGE,medical,0.2132,26-40,M,north,0,train
56541,24357,0.4841,634,8.4,5,MORTGAGE,medical,0.8269,26-40,M,west,0,validation
35209,17370,0.678,804,3.0,7,OWN,medical,0.5384,18-25,F,east,0,train
34799,21025,0.4524,636,4.4,4,RENT,home_improvement,0.3262,26-40,F,south,1,train
69300,15263,0.2096,576,1.5,8,MORTGAGE,home_improvement,0.6417,26-40,F,east,1,train
78477,49787,0.682,707,7.0,11,RENT,small_business,0.606,41-60,F,east,1,train
33947,20909,0.5803,628,6.1,5,RENT,small_business,0.2198,26-40,M,north,1,train
42416,21607,0.3638,668,11.6,3,MORTGAGE,home_improvement,0.1491,41-60,M,north,1,train
31018,5790,0.2058,794,9.0,5,MORTGAGE,major_purchase,0.1938,18-25,M,north,0,train
77153,44780,0.5973,659,11.5,8,MORTGAGE,home_improvement,0.7474,26-40,M,west,0,test
76682,10779,0.1928,657,8.0,4,RENT,home_improvement,0.8091,41-60,M,west,1,train
32209,16154,0.6513,657,1.8,5,RENT,major_purchase,0.6259,26-40,M,east,1,train
42430,13614,0.4047,736,1.5,7,RENT,debt_consolidation,0.1545,60+,F,north,0,train
95171,28046,0.2551,802,12.8,5,RENT,small_business,0.1264,26-40,F,north,0,train
68957,35997,0.423,639,4.8,3,RENT,home_improvement,0.5911,26-40,M,east,0,test
172947,105798,0.4703,652,5.0,6,MORTGAGE,major_purchase,0.4171,18-25,M,south,0,train
51038,11226,0.2398,668,0.9,4,MORTGAGE,debt_consolidation,0.1626,60+,F,north,1,train
19224,11769,0.75,696,7.4,5,OWN,home_improvement,0.1308,26-40,F,north,1,train
30399,4688,0.1741,709,7.3,3,MORTGAGE,debt_consolidation,0.1831,18-25,M,north,0,train
55536,9859,0.1414,644,8.4,5,RENT,debt_consolidation,0.7359,18-25,M,east,0,train
49194,20731,0.3838,636,11.0,9,MORTGAGE,major_purchase,0.2551,26-40,M,north,0,train
102106,27516,0.2275,648,8.9,5,MORTGAGE,home_improvement,0.7697,41-60,F,west,0,train
63454,17151,0.3427,710,2.0,8,MORTGAGE,home_improvement,0.1599,41-60,F,north,1,train
33856,18830,0.3888,731,0.6,1,MORTGAGE,debt_consolidation,0.6277,41-60,M,east,1,train
47021,21711,0.2436,633,5.0,5,RENT,debt_consolidation,0.0948,26-40,M,north,0,test
80952,49913,0.3959,672,6.1,6,MORTGAGE,medical,0.2227,41-60,M,north,0,train
53807,18005,0.4651,779,3.6,4,OWN,debt_consolidation,0.3753,18-25,M,south,1,test
55451,25370,0.6364,712,3.4,3,MORTGAGE,debt_consolidation,0.4393,18-25,M,south,1,train
118053,17351,0.1643,629,2.4,3,MORTGAGE,home_improvement,0.8568,18-25,F,west,0,train
66823,42140,0.474,627,15.7,8,RENT,home_improvement,0.8176,18-25,F,west,1,test
80585,53035,0.3816,696,2.6,6,RENT,major_purchase,0.1714,26-40,F,north,1,train
57985,10732,0.2043,728,6.1,8,MORTGAGE,debt_consolidation,0.3196,26-40,F,south,0,train
43735,25072,0.3889,692,0.7,6,MORTGAGE,debt_consolidation,0.6202,26-40,M,east,1,train
171277,101518,0.6901,640,4.8,5,RENT,medical,0.3649,41-60,F,south,1,train
70141,45597,0.5481,817,5.7,3,MORTGAGE,home_improvement,0.1907,26-40,F,north,0,train
73687,32203,0.5467,666,13.0,6,MORTGAGE,debt_consolidation,0.2415,26-40,F,north,0,train
39727,17621,0.5948,680,7.3,4,MORTGAGE,debt_consolidation,0.8,26-40,M,west,1,test
57751,26750,0.5585,682,13.5,9,MORTGAGE,debt_consolidation,0.2176,26-40,M,north,1,train
38966,24218,0.75,643,8.6,3,RENT,home_improvement,0.6809,26-40,F,east,1,train
77984,12613,0.0809,765,6.8,4,RENT,debt_consolidation,0.6193,26-40,F,east,0,train
67614,22255,0.266,595,9.2,5,OWN,debt_consolidation,0.7309,41-60,F,west,0,train
73563,38532,0.6274,696,10.6,5,MORTGAGE,major_purchase,0.217,41-60,F,north,0,train
34619,7902,0.1834,544,7.8,7,MORTGAGE,home_improvement,0.4579,26-40,M,south,0,train
23830,5324,0.1717,642,7.4,5,MORTGAGE,home_improvement,0.6175,41-60,M,east,1,test
50235,7016,0.1029,722,11.8,3,MORTGAGE,debt_consolidation,0.8427,60+,F,west,0,train
54350,10116,0.1533,802,7.1,6,MORTGAGE,debt_consolidation,0.8437,26-40,M,west,0,validation
34364,14333,0.3175,680,12.3,5,RENT,major_purchase,0.3185,60+,F,north,1,train
88128,17972,0.1766,683,1.0,4,RENT,home_improvement,0.8704,18-25,F,west,0,train
57279,17635,0.3736,684,13.8,8,OWN,debt_consolidation,0.4367,26-40,M,south,1,train
60224,15435,0.2592,685,5.1,7,MORTGAGE,small_business,0.2887,18-25,F,north,0,train
53332,8497,0.2074,598,0.7,4,MORTGAGE,medical,0.5146,26-40,M,south,0,train
72143,26593,0.273,691,6.4,4,MORTGAGE,major_purchase,0.7432,41-60,F,east,0,test
25287,8835,0.4177,620,3.3,4,RENT,major_purchase,0.4154,41-60,F,south,0,train
47182,22514,0.2427,696,4.7,2,RENT,debt_consolidation,0.192,26-40,F,north,0,train
102285,52147,0.43,622,3.2,4,MORTGAGE,debt_consolidation,0.6883,26-40,F,east,1,train
69435,17350,0.1845,506,5.4,9,MORTGAGE,small_business,0.6966,26-40,M,east,0,validation
34865,14352,0.4177,676,4.7,8,MORTGAGE,home_improvement,0.2719,41-60,M,north,0,train
34737,18317,0.3938,730,3.1,7,MORTGAGE,debt_consolidation,0.558,26-40,F,east,1,train
67484,24462,0.2627,644,7.0,5,RENT,debt_consolidation,0.488,60+,M,south,0,train
45032,30805,0.518,712,17.0,4,MORTGAGE,debt_consolidation,0.4549,18-25,M,south,0,train
49317,17612,0.2288,705,3.3,6,MORTGAGE,small_business,0.6482,26-40,M,east,1,train
25460,12392,0.6186,724,1.1,3,RENT,debt_consolidation,0.5649,18-25,F,east,1,validation
95208,7605,0.0919,659,2.6,5,RENT,home_improvement,0.3871,41-60,F,south,0,train
24574,10198,0.2188,680,1.3,5,MORTGAGE,medical,0.2307,18-25,M,north,0,train
92066,11237,0.13,690,4.5,3,OWN,debt_consolidation,0.2101,26-40,F,north,0,train
54572,11929,0.1487,697,9.3,6,RENT,major_purchase,0.1436,26-40,M,north,0,train
28333,3931,0.1164,729,6.1,5,MORTGAGE,home_improvement,0.6574,26-40,F,east,0,train
52066,31791,0.75,687,1.4,3,MORTGAGE,debt_consolidation,0.5436,18-25,M,east,1,train
76525,30068,0.5232,620,3.8,3,MORTGAGE,small_business,0.1825,41-60,M,north,0,train
36075,15556,0.5361,606,6.8,4,OWN,small_business,0.3766,18-25,M,south,0,train
63304,7099,0.1546,580,7.9,2,MORTGAGE,major_purchase,0.2716,26-40,F,north,1,train
67441,21699,0.2927,669,12.8,1,RENT,home_improvement,0.2272,41-60,F,north,0,train
56308,27177,0.4289,679,5.4,9,MORTGAGE,major_purchase,0.4507,18-25,F,south,0,train
25515,12381,0.3737,707,6.0,6,OWN,home_improvement,0.512,26-40,M,east,1,test
29641,11749,0.4502,731,19.4,4,RENT,home_improvement,0.183,26-40,M,north,0,validation
44046,14876,0.4429,726,6.8,3,OWN,medical,0.2947,18-25,M,north,0,train
130219,41521,0.3207,560,13.5,5,MORTGAGE,debt_consolidation,0.6513,41-60,F,east,1,train
94518,34713,0.2135,728,3.6,3,MORTGAGE,medical,0.2251,41-60,M,north,0,validation
27002,12211,0.457,643,9.7,6,RENT,major_purchase,0.6639,26-40,M,east,1,train
36975,22557,0.5882,647,2.3,7,OWN,major_purchase,0.8305,41-60,M,west,0,test
35324,6137,0.1923,633,7.3,4,MORTGAGE,debt_consolidation,0.5373,41-60,F,east,0,train
46317,26792,0.4032,548,9.1,3,OWN,debt_consolidation,0.764,26-40,F,west,1,train
53413,32973,0.4027,688,3.0,6,OWN,medical,0.5716,60+,M,east,1,train
37071,10416,0.1944,689,8.6,4,OWN,small_business,0.3659,60+,M,south,0,test
60834,31951,0.5359,678,4.1,3,OWN,major_purchase,0.8256,41-60,F,west,1,train
32296,5757,0.216,750,2.0,8,RENT,debt_consolidation,0.6052,18-25,M,east,0,train
77338,52179,0.4193,735,2.7,6,RENT,debt_consolidation,0.5701,18-25,M,east,1,train
70406,10695,0.166,766,2.4,4,RENT,home_improvement,0.7642,26-40,F,west,1,test
88619,15353,0.1339,676,8.7,8,OWN,medical,0.0487,60+,F,north,0,train
27651,9857,0.3817,586,2.3,7,MORTGAGE,debt_consolidation,0.5538,41-60,M,east,1,train
49755,8443,0.177,723,2.4,6,MORTGAGE,debt_consolidation,0.1234,41-60,F,north,0,train
67982,31059,0.2675,728,8.1,8,MORTGAGE,home_improvement,0.4111,26-40,F,south,0,train
31313,16811,0.5479,634,9.8,2,MORTGAGE,major_purchase,0.4091,41-60,M,south,0,train
44843,21366,0.6665,788,6.8,4,MORTGAGE,medical,0.1393,60+,F,north,0,test
61931,21471,0.3685,777,8.5,3,MORTGAGE,debt_consolidation,0.4344,41-60,F,south,0,validation
49019,7123,0.0924,707,4.4,4,RENT,medical,0.3949,60+,F,south,0,test
86574,16780,0.2497,760,6.4,8,MORTGAGE,major_purchase,0.243,60+,F,north,0,train
25331,8959,0.4559,624,2.3,11,MORTGAGE,major_purchase,0.5427,18-25,M,east,1,test
94656,18895,0.1649,715,5.7,4,RENT,home_improvement,0.5605,26-40,M,east,0,train
53791,30085,0.4581,618,7.3,4,RENT,debt_consolidation,0.1987,41-60,M,north,0,test
41126,19808,0.3074,731,6.4,3,RENT,debt_consolidation,0.4544,41-60,F,south,0,train
94680,30468,0.3876,604,14.4,7,RENT,debt_consolidation,0.6133,18-25,M,east,0,train
24449,2223,0.0964,691,6.8,3,RENT,home_improvement,0.5679,41-60,F,east,0,validation
26275,9586,0.308,725,10.1,3,RENT,medical,0.8494,26-40,F,west,1,train
23248,6936,0.4008,718,10.2,3,RENT,home_improvement,0.3702,18-25,M,south,1,train
110871,8698,0.0699,624,6.8,5,MORTGAGE,major_purchase,0.6614,26-40,M,east,0,train
38278,3243,0.1119,653,8.9,3,RENT,medical,0.7075,18-25,M,west,1,train
42635,23276,0.6052,556,13.6,5,MORTGAGE,debt_consolidation,0.9194,41-60,F,west,1,train
64845,41889,0.4837,702,12.1,9,MORTGAGE,major_purchase,0.4706,26-40,M,east,1,test
63644,27546,0.3978,661,5.0,7,OWN,home_improvement,0.1587,41-60,F,north,0,train
48383,26846,0.4826,750,6.9,7,RENT,debt_consolidation,0.1512,41-60,F,north,0,train
52821,10293,0.2463,786,3.8,8,RENT,home_improvement,0.222,26-40,M,north,1,train
31537,4020,0.1121,526,1.2,4,OWN,debt_consolidation,0.7152,26-40,F,east,1,train
85784,43675,0.6185,682,6.5,5,OWN,debt_consolidation,0.6578,41-60,M,east,1,train
88266,22569,0.1731,672,2.4,4,RENT,debt_consolidation,0.208,41-60,F,north,0,test
54853,12165,0.237,725,2.2,5,MORTGAGE,home_improvement,0.6788,60+,M,east,0,train
26168,7121,0.1863,719,3.4,6,OWN,debt_consolidation,0.7185,26-40,F,west,1,train
41080,4045,0.0625,717,1.5,5,OWN,debt_consolidation,0.3392,41-60,F,south,0,train
111398,44508,0.2109,728,2.5,5,MORTGAGE,major_purchase,0.7672,26-40,M,west,0,train
51436,21920,0.3484,701,3.1,4,RENT,major_purchase,0.3555,18-25,F,south,1,train
35457,10382,0.2536,663,15.4,3,RENT,home_improvement,0.149,60+,M,north,0,train
41729,14416,0.3581,648,2.1,4,RENT,debt_consolidation,0.5266,26-40,F,south,0,train
50225,18442,0.314,713,5.5,3,OWN,debt_consolidation,0.3805,41-60,M,south,1,train
24170,10312,0.2828,696,2.7,8,OWN,medical,0.1811,60+,F,north,0,validation
65059,23923,0.2866,781,4.1,7,RENT,small_business,0.4874,26-40,F,east,0,train
72004,6416,0.123,664,7.9,3,MORTGAGE,debt_consolidation,0.6411,41-60,M,east,0,validation
38902,24967,0.75,661,1.1,4,RENT,medical,0.4663,41-60,F,south,1,train
27698,4628,0.2328,518,4.5,2,RENT,debt_consolidation,0.5958,41-60,M,east,0,validation
68535,38960,0.7357,654,2.5,3,OWN,major_purchase,0.1685,18-25,F,north,0,train
50328,7656,0.1281,610,8.6,2,RENT,major_purchase,0.2358,60+,F,north,1,train
46868,29074,0.4586,809,10.2,7,MORTGAGE,home_improvement,0.4587,26-40,F,south,0,test
87758,43149,0.2791,761,1.5,8,MORTGAGE,home_improvement,0.3238,26-40,F,south,0,train
50186,5333,0.0738,755,11.6,5,RENT,major_purchase,0.5682,26-40,F,east,0,train
65059,6337,0.0959,643,8.6,2,MORTGAGE,home_improvement,0.2235,26-40,M,north,0,train
41119,15527,0.2407,663,4.8,5,RENT,debt_consolidation,0.5341,41-60,F,east,0,train
52859,17093,0.3788,480,8.0,6,RENT,debt_consolidation,0.1133,26-40,M,north,0,test
40704,12343,0.2188,705,5.3,4,MORTGAGE,debt_consolidation,0.441,26-40,M,south,0,test
82670,21776,0.3059,719,4.3,5,RENT,home_improvement,0.6317,60+,M,east,1,train
111959,56520,0.3534,726,5.5,4,MORTGAGE,debt_consolidation,0.7871,26-40,F,west,0,train
108121,59841,0.3613,698,3.3,8,RENT,debt_consolidation,0.2632,41-60,M,south,0,train
48833,25399,0.686,714,2.3,4,RENT,debt_consolidation,0.444,18-25,M,south,1,train
64720,20410,0.3457,748,7.7,4,OWN,medical,0.3576,26-40,M,south,0,train
54148,9016,0.0944,657,3.9,7,RENT,medical,0.2332,41-60,F,north,0,train
74134,12937,0.2281,749,10.0,4,RENT,debt_consolidation,0.4296,18-25,M,south,0,train
31747,19042,0.7051,678,5.4,4,MORTGAGE,medical,0.5978,41-60,M,east,1,train
85970,16497,0.1105,662,2.2,4,OWN,home_improvement,0.2857,18-25,M,north,0,test
58001,16428,0.2934,648,1.9,5,MORTGAGE,home_improvement,0.2401,41-60,F,north,0,test
43477,2877,0.0527,738,2.4,8,MORTGAGE,small_business,0.8278,60+,M,west,0,train
20283,10434,0.4614,684,7.3,7,OWN,debt_consolidation,0.1973,41-60,M,north,1,train
79124,21342,0.2653,627,5.2,4,MORTGAGE,debt_consolidation,0.3897,41-60,F,south,1,train
83678,38014,0.3099,667,6.0,4,RENT,debt_consolidation,0.5498,18-25,M,east,1,train
59734,10527,0.0924,789,4.9,2,RENT,medical,0.5234,26-40,M,east,0,train
36777,8394,0.2146,698,4.3,4,MORTGAGE,debt_consolidation,0.3901,26-40,F,south,1,train
117086,50364,0.468,720,3.8,7,MORTGAGE,debt_consolidation,0.1323,26-40,M,north,1,train
168786,77353,0.306,748,5.4,4,MORTGAGE,home_improvement,0.4622,41-60,F,south,0,validation
34138,25814,0.4311,658,14.0,7,MORTGAGE,debt_consolidation,0.2138,26-40,F,north,1,train
41284,8135,0.2634,680,9.3,7,MORTGAGE,debt_consolidation,0.3339,60+,F,north,0,test
75984,13805,0.1017,729,11.1,6,RENT,small_business,0.4415,41-60,M,south,0,train
47882,3180,0.0602,674,1.5,4,OWN,debt_consolidation,0.1854,26-40,M,north,0,train
123836,14979,0.1394,594,2.0,4,RENT,debt_consolidation,0.9112,26-40,F,west,1,train
22289,15988,0.75,748,5.9,5,MORTGAGE,home_improvement,0.1258,26-40,F,north,1,train
68498,26268,0.4148,675,6.5,6,MORTGAGE,debt_consolidation,0.5727,26-40,F,east,1,train
46345,26228,0.6388,755,4.3,6,RENT,small_business,0.7858,18-25,M,west,1,validation
54779,12834,0.2104,767,10.0,3,MORTGAGE,debt_consolidation,0.8206,18-25,F,west,0,train
53404,30665,0.5472,618,7.0,7,OWN,debt_consolidation,0.8343,18-25,F,west,1,train
44619,25896,0.6371,699,2.6,4,MORTGAGE,small_business,0.1076,26-40,F,north,1,train
99555,17399,0.1119,734,4.9,3,MORTGAGE,major_purchase,0.6076,18-25,M,east,0,validation
51446,31929,0.5193,706,3.3,6,MORTGAGE,small_business,0.6446,26-40,F,east,1,train
28610,19141,0.7026,807,4.5,2,RENT,home_improvement,0.3855,41-60,M,south,1,train
54517,18962,0.2053,669,6.8,3,RENT,debt_consolidation,0.1086,41-60,M,north,0,train
103883,56518,0.7115,679,1.9,3,MORTGAGE,home_improvement,0.4171,60+,F,south,1,validation
61865,8951,0.1086,711,17.1,5,RENT,home_improvement,0.2597,26-40,F,north,0,test
77067,20568,0.1913,617,1.0,7,RENT,home_improvement,0.1004,18-25,M,north,1,train
65573,37199,0.75,698,6.6,5,MORTGAGE,home_improvement,0.8037,18-25,M,west,1,test
